2025-06-15 15:30:42 | INFO     | werkzeug:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-06-15 15:30:42 | INFO     | werkzeug:97 | [33mPress CTRL+C to quit[0m
2025-06-15 15:30:42 | INFO     | werkzeug:97 |  * Restarting with stat
2025-06-15 15:30:44 | WARNING  | werkzeug:97 |  * Debugger is active!
2025-06-15 15:30:44 | INFO     | werkzeug:97 |  * Debugger PIN: 140-156-874
2025-06-15 15:30:45 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:30:45] "GET / HTTP/1.1" 200 -
2025-06-15 15:30:47 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:30:47] "GET /socket.io/?EIO=4&transport=polling&t=PToVtyf HTTP/1.1" 200 -
2025-06-15 15:30:47 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:30:47] "POST /socket.io/?EIO=4&transport=polling&t=PToVtyw&sid=Jnhm-wIqMUzZKYwUAAAA HTTP/1.1" 200 -
2025-06-15 15:30:47 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:30:47] "GET /socket.io/?EIO=4&transport=polling&t=PToVtyy&sid=Jnhm-wIqMUzZKYwUAAAA HTTP/1.1" 200 -
2025-06-15 15:30:47 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:30:47] "POST /socket.io/?EIO=4&transport=polling&t=PToVtzM&sid=Jnhm-wIqMUzZKYwUAAAA HTTP/1.1" 200 -
2025-06-15 15:30:47 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:30:47] "GET /socket.io/?EIO=4&transport=polling&t=PToVtzO&sid=Jnhm-wIqMUzZKYwUAAAA HTTP/1.1" 200 -
2025-06-15 15:30:48 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:30:48] "GET /socket.io/?EIO=4&transport=polling&t=PToVu8r HTTP/1.1" 200 -
2025-06-15 15:30:48 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:30:48] "POST /socket.io/?EIO=4&transport=polling&t=PToVu91&sid=Md3g_2VppShdi-wWAAAC HTTP/1.1" 200 -
2025-06-15 15:30:48 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:30:48] "GET /socket.io/?EIO=4&transport=polling&t=PToVu93&sid=Md3g_2VppShdi-wWAAAC HTTP/1.1" 200 -
2025-06-15 15:30:48 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:30:48] "GET /socket.io/?EIO=4&transport=polling&t=PToVuA9&sid=Md3g_2VppShdi-wWAAAC HTTP/1.1" 200 -
2025-06-15 15:30:52 | DEBUG    | __main__:772 | --- 预言家行动已收集 ---
2025-06-15 15:30:52 | DEBUG    | __main__:777 | 预言家3  查验 1
2025-06-15 15:30:53 | DEBUG    | __main__:796 | 执行环境.step, 夜晚行动: {'1': array([2]), '4': array([0]), '0': 6, '2': 6, '3': array([1]), '5': 6}
2025-06-15 15:30:53 | DEBUG    | __main__:798 | 环境.step 完成, 存活: [0, 1, 3, 4, 5]
2025-06-15 15:30:53 | DEBUG    | __main__:805 | 检查最近5个事件
2025-06-15 15:30:53 | DEBUG    | __main__:807 | 事件内容: {'day': 0, 'phase': 'seer_check', 'seer': 3, 'target': 1, 'role': 0, 'alive': [0, 1, 2, 3, 4, 5]}
2025-06-15 15:30:53 | DEBUG    | __main__:807 | 事件内容: {'day': 0, 'phase': 'night', 'victim': 2, 'alive': [0, 1, 3, 4, 5]}
2025-06-15 15:30:56 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=0
2025-06-15 15:31:06 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=1
2025-06-15 15:31:07 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=3
2025-06-15 15:31:08 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=4
2025-06-15 15:31:10 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=5
2025-06-15 15:31:13 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:31:13] "GET /socket.io/?EIO=4&transport=websocket&sid=Md3g_2VppShdi-wWAAAC HTTP/1.1" 200 -
2025-06-15 15:31:17 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:31:17] "GET /socket.io/?EIO=4&transport=polling&t=PToV_ED HTTP/1.1" 200 -
2025-06-15 15:31:17 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:31:17] "POST /socket.io/?EIO=4&transport=polling&t=PToV_EO&sid=Pz6cecKe2P_f2xYlAAAE HTTP/1.1" 200 -
2025-06-15 15:31:17 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:31:17] "GET /socket.io/?EIO=4&transport=polling&t=PToV_EP&sid=Pz6cecKe2P_f2xYlAAAE HTTP/1.1" 200 -
2025-06-15 15:31:17 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:31:17] "GET /socket.io/?EIO=4&transport=polling&t=PToV_FR&sid=Pz6cecKe2P_f2xYlAAAE HTTP/1.1" 200 -
2025-06-15 15:31:19 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:31:19] "GET /socket.io/?EIO=4&transport=websocket&sid=Pz6cecKe2P_f2xYlAAAE HTTP/1.1" 200 -
2025-06-15 15:31:23 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:31:23] "GET /socket.io/?EIO=4&transport=polling&t=PToW0hJ HTTP/1.1" 200 -
2025-06-15 15:31:23 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:31:23] "POST /socket.io/?EIO=4&transport=polling&t=PToW0hW&sid=SgecpgIdIBT5iiLEAAAG HTTP/1.1" 200 -
2025-06-15 15:31:23 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:31:23] "GET /socket.io/?EIO=4&transport=polling&t=PToW0hX&sid=SgecpgIdIBT5iiLEAAAG HTTP/1.1" 200 -
2025-06-15 15:31:26 | DEBUG    | human_ai_game:423 | AI狼人0(玩家1) -> 2
2025-06-15 15:31:37 | DEBUG    | __main__:772 | --- 预言家行动已收集 ---
2025-06-15 15:31:37 | DEBUG    | __main__:777 | 预言家5  查验 4
2025-06-15 15:31:38 | DEBUG    | __main__:796 | 执行环境.step, 夜晚行动: {'1': 5, '0': array([2]), '2': 6, '3': 6, '4': 6, '5': array([4])}
2025-06-15 15:31:38 | DEBUG    | __main__:798 | 环境.step 完成, 存活: [0, 1, 2, 3, 4]
2025-06-15 15:31:38 | DEBUG    | __main__:805 | 检查最近5个事件
2025-06-15 15:31:38 | DEBUG    | __main__:807 | 事件内容: {'day': 0, 'phase': 'seer_check', 'seer': 5, 'target': 4, 'role': 1, 'alive': [0, 1, 2, 3, 4, 5]}
2025-06-15 15:31:38 | DEBUG    | __main__:807 | 事件内容: {'day': 0, 'phase': 'night', 'victim': 5, 'alive': [0, 1, 2, 3, 4]}
2025-06-15 15:31:39 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=0
